PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
6,0,3,1,,0,0,330877,8.4583,1
18,1,2,1,,0,0,244373,13.0,2
20,1,3,0,,0,0,2649,7.225,0
27,0,3,1,,0,0,2631,7.225,0
29,1,3,0,,0,0,330959,7.8792,1
30,0,3,1,,0,0,349216,7.8958,2
32,1,1,0,,1,0,17569,146.5208,0
33,1,3,0,,0,0,335677,7.75,1
37,1,3,1,,0,0,2677,7.2292,0
43,0,3,1,,0,0,349253,7.8958,0
46,0,3,1,,0,0,23567,8.05,2
47,0,3,1,,1,0,370371,15.5,1
48,1,3,0,,0,0,14311,7.75,1
49,0,3,1,,2,0,2662,21.6792,0
56,1,1,1,,0,0,19947,35.5,2
65,0,1,1,,0,0,17605,27.7208,0
66,1,3,1,,1,1,2661,15.2458,0
77,0,3,1,,0,0,349208,7.8958,2
78,0,3,1,,0,0,374746,8.05,2
83,1,3,0,,0,0,330932,7.7875,1
88,0,3,1,,0,0,392086,8.05,2
96,0,3,1,,0,0,374910,8.05,2
102,0,3,1,,0,0,349215,7.8958,2
108,1,3,1,,0,0,312991,7.775,2
110,1,3,0,,1,0,371110,24.15,1
122,0,3,1,,0,0,54510,8.05,2
127,0,3,1,,0,0,370372,7.75,1
129,1,3,0,,1,1,2668,22.3583,0
141,0,3,0,,0,2,2678,15.2458,0
155,0,3,1,,0,0,265302,7.3125,2
159,0,3,1,,0,0,315037,8.6625,2
160,0,3,1,,8,2,2343,69.55,2
167,1,1,0,,0,1,113505,55.0,2
169,0,1,1,,0,0,17318,25.925,2
177,0,3,1,,3,1,4133,25.4667,2
180,0,3,1,36.0,0,0,,0.0,2
181,0,3,0,,8,2,2343,69.55,2
182,0,2,1,,0,0,2131,15.05,0
186,0,1,1,,0,0,113767,50.0,2
187,1,3,0,,1,0,370365,15.5,1
197,0,3,1,,0,0,368703,7.75,1
199,1,3,0,,0,0,370370,7.75,1
202,0,3,1,,8,2,2343,69.55,2
215,0,3,1,,1,0,367229,7.75,1
224,0,3,1,,0,0,349234,7.8958,2
230,0,3,0,,3,1,4133,25.4667,2
236,0,3,0,,0,0,6609,7.55,2
241,0,3,0,,1,0,2665,14.4542,0
242,1,3,0,,1,0,367230,15.5,1
251,0,3,1,,0,0,362316,7.25,2
257,1,1,0,,0,0,17585,79.2,0
261,0,3,1,,0,0,384461,7.75,1
265,0,3,0,,0,0,382649,7.75,1
271,0,1,1,,0,0,113798,31.0,2
272,1,3,1,25.0,0,0,,0.0,2
275,1,3,0,,0,0,370375,7.75,1
278,0,2,1,,0,0,239853,0.0,2
285,0,1,1,,0,0,113056,26.0,2
296,0,1,1,,0,0,17612,27.7208,0
299,1,1,1,,0,0,19988,30.5,2
301,1,3,0,,0,0,9234,7.75,1
302,1,3,1,,2,0,367226,23.25,1
303,0,3,1,19.0,0,0,,0.0,2
304,1,2,0,,0,0,226593,12.35,1
305,0,3,1,,0,0,2466,8.05,2
307,1,1,0,,0,0,17421,110.8833,0
325,0,3,1,,8,2,2343,69.55,2
331,1,3,0,,2,0,367226,23.25,1
335,1,1,0,,1,0,17611,133.65,2
336,0,3,1,,0,0,349225,7.8958,2
348,1,3,0,,1,0,386525,16.1,2
352,0,1,1,,0,0,113510,35.0,2
355,0,3,1,,0,0,2647,7.225,0
359,1,3,0,,0,0,330931,7.8792,1
360,1,3,0,,0,0,330980,7.8792,1
365,0,3,1,,1,0,370365,15.5,1
368,1,3,0,,0,0,2626,7.2292,0
369,1,3,0,,0,0,14313,7.75,1
376,1,1,0,,1,0,17604,82.1708,0
385,0,3,1,,0,0,349227,7.8958,2
389,0,3,1,,0,0,367655,7.7292,1
410,0,3,0,,3,1,4133,25.4667,2
411,0,3,1,,0,0,349222,7.8958,2
412,0,3,1,,0,0,394140,6.8583,1
414,0,2,1,,0,0,239853,0.0,2
416,0,3,0,,0,0,343095,8.05,2
421,0,3,1,,0,0,349254,7.8958,0
426,0,3,1,,0,0,34244,7.25,2
429,0,3,1,,0,0,364851,7.75,1
432,1,3,0,,1,0,376564,16.1,2
445,1,3,1,,0,0,65306,8.1125,2
452,0,3,1,,1,0,65303,19.9667,2
455,0,3,1,,0,0,2817,8.05,2
458,1,1,0,,1,0,17464,51.8625,2
460,0,3,1,,0,0,371060,7.75,1
465,0,3,1,,0,0,2816,8.05,2
467,0,2,1,,0,0,239853,0.0,2
469,0,3,1,,0,0,36209,7.725,1
471,0,3,1,,0,0,323592,7.25,2
476,0,1,1,,0,0,110465,52.0,2
482,0,2,1,,0,0,239854,0.0,2
486,0,3,0,,3,1,4133,25.4667,2
491,0,3,1,,1,0,65304,19.9667,2
496,0,3,1,,0,0,2627,14.4583,0
498,0,3,1,,0,0,6212,15.1,2
503,0,3,0,,0,0,330909,7.6292,1
508,1,1,1,,0,0,111427,26.55,2
512,0,3,1,,0,0,3101316,8.05,2
518,0,3,1,,0,0,371110,24.15,1
523,0,3,1,,0,0,2624,7.225,0
525,0,3,1,,0,0,2700,7.2292,0
528,0,1,1,,0,0,17483,221.7792,2
532,0,3,1,,0,0,2641,7.2292,0
534,1,3,0,,0,2,2668,22.3583,0
539,0,3,1,,0,0,364498,14.5,2
548,1,2,1,,0,0,2146,13.8625,0
553,0,3,1,,0,0,330979,7.8292,1
558,0,1,1,,0,0,17757,227.525,0
561,0,3,1,,0,0,372622,7.75,1
564,0,3,1,,0,0,392082,8.05,2
565,0,3,0,,0,0,392087,8.05,2
569,0,3,1,,0,0,2686,7.2292,0
574,1,3,0,,0,0,14312,7.75,1
579,0,3,0,,1,0,2689,14.4583,0
585,0,3,1,,0,0,3411,8.7125,0
590,0,3,1,,0,0,3235,8.05,2
594,0,3,0,,0,2,364848,7.75,1
597,1,2,0,,0,0,248727,33.0,2
598,0,3,1,49.0,0,0,,0.0,2
599,0,3,1,,0,0,2664,7.225,0
602,0,3,1,,0,0,349214,7.8958,2
603,0,1,1,,0,0,113796,42.4,2
612,0,3,1,,0,0,3101305,7.05,2
613,1,3,0,,1,0,367230,15.5,1
614,0,3,1,,0,0,370377,7.75,1
630,0,3,1,,0,0,334912,7.7333,1
634,0,1,1,,0,0,112052,0.0,2
640,0,3,1,,1,0,376564,16.1,2
644,1,3,1,,0,0,1601,56.4958,2
649,0,3,1,,0,0,751,7.55,2
651,0,3,1,,0,0,349221,7.8958,2
654,1,3,0,,0,0,330919,7.8292,1
657,0,3,1,,0,0,349223,7.8958,2
668,0,3,1,,0,0,312993,7.775,2
670,1,1,0,,1,0,19996,52.0,2
675,0,2,1,,0,0,239856,0.0,2
681,0,3,0,,0,0,330935,8.1375,1
693,1,3,1,,0,0,1601,56.4958,2
698,1,3,0,,0,0,35852,7.7333,1
710,1,3,1,,1,1,2661,15.2458,0
712,0,1,1,,0,0,113028,26.55,2
719,0,3,1,,0,0,36568,15.5,1
728,1,3,0,,0,0,36866,7.7375,1
733,0,2,1,,0,0,239855,0.0,2
739,0,3,1,,0,0,349201,7.8958,2
740,0,3,1,,0,0,349218,7.8958,2
741,1,1,1,,0,0,16988,30.0,2
761,0,3,1,,0,0,358585,14.5,2
767,0,1,1,,0,0,112379,39.6,0
769,0,3,1,,1,0,371110,24.15,1
774,0,3,1,,0,0,2674,7.225,0
777,0,3,1,,0,0,383121,7.75,1
779,0,3,1,,0,0,36865,7.7375,1
784,0,3,1,,1,2,6607,23.45,2
791,0,3,1,,0,0,12460,7.75,1
793,0,3,0,,8,2,2343,69.55,2
794,0,1,1,,0,0,17600,30.6958,0
816,0,1,1,,0,0,112058,0.0,2
826,0,3,1,,0,0,368323,6.95,1
827,0,3,1,,0,0,1601,56.4958,2
829,1,3,1,,0,0,367228,7.75,1
833,0,3,1,,0,0,2671,7.2292,0
838,0,3,1,,0,0,392092,8.05,2
840,1,1,1,,0,0,11774,29.7,0
847,0,3,1,,8,2,2343,69.55,2
850,1,1,0,,1,0,17453,89.1042,0
860,0,3,1,,0,0,2629,7.2292,0
864,0,3,0,,8,2,2343,69.55,2
869,0,3,1,,0,0,345777,9.5,2
879,0,3,1,,0,0,349217,7.8958,2
889,0,3,0,,1,2,6607,23.45,2
